SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.39917055469155005;21.400934559032695
117122;GreyMatter;0.6166637691127521;14.212670403551895
117122;Hippocampus;0.3573307711664722;19.026297590440446
117122;Thalamus;0.6886746561712289;57.41080037762929
117122;WhiteMatter;0.7798094737715344;17.832554500127006
117122-PP;Amygdala;0.39917055469155005;21.400934559032695
117122-PP;GreyMatter;0.6166637691127521;14.212670403551895
117122-PP;Hippocampus;0.3573307711664722;19.026297590440446
117122-PP;Thalamus;0.6886746561712289;57.41080037762929
117122-PP;WhiteMatter;0.7798094737715344;17.832554500127006
118528;Amygdala;0.27157972897716726;25.25866188063018
118528;GreyMatter;0.5115028020989191;14.317821063276353
118528;Hippocampus;0.37197884353589683;23.49468024894146
118528;Thalamus;0.6678811659192825;43.57751713900185
118528;WhiteMatter;0.601891596334863;21.047565179849187
118528-PP;Amygdala;0.27157972897716726;25.25866188063018
118528-PP;GreyMatter;0.5115028020989191;14.317821063276353
118528-PP;Hippocampus;0.37197884353589683;23.49468024894146
118528-PP;Thalamus;0.6678811659192825;43.57751713900185
118528-PP;WhiteMatter;0.601891596334863;21.047565179849187
118730;Amygdala;0.37333333333333335;18.439088914585774
118730;GreyMatter;0.6023977486360728;16.583123951777
118730;Hippocampus;0.3127313563199268;18.466185312619388
118730;Thalamus;0.6026235206488455;61.237243569579455
118730;WhiteMatter;0.738514898313101;21.118712081942874
118730-PP;Amygdala;0.37333333333333335;18.439088914585774
118730-PP;GreyMatter;0.6023977486360728;16.583123951777
118730-PP;Hippocampus;0.3127313563199268;18.466185312619388
118730-PP;Thalamus;0.6026235206488455;61.237243569579455
118730-PP;WhiteMatter;0.738514898313101;21.118712081942874
118932;Amygdala;0.39609696600091476;26.019223662515376
118932;GreyMatter;0.6247600716884298;15.937377450509228
118932;Hippocampus;0.30633696309739866;26.248809496813376
118932;Thalamus;0.6713541666666667;54.74486277268398
118932;WhiteMatter;0.7519808187165213;20.149441679609886
118932-PP;Amygdala;0.39609696600091476;26.019223662515376
118932-PP;GreyMatter;0.6247600716884298;15.937377450509228
118932-PP;Hippocampus;0.30633696309739866;26.248809496813376
118932-PP;Thalamus;0.6713541666666667;54.74486277268398
118932-PP;WhiteMatter;0.7519808187165213;20.149441679609886
120111;Amygdala;0.3993451122177502;30.0
120111;GreyMatter;0.5980847719670916;13.490737563232042
120111;Hippocampus;0.34013488919815865;30.822070014844883
120111;Thalamus;0.609568745871473;45.617978911828175
120111;WhiteMatter;0.7311449621254376;16.76305461424021
120111-PP;Amygdala;0.3993451122177502;30.0
120111-PP;GreyMatter;0.5980847719670916;13.490737563232042
120111-PP;Hippocampus;0.34013488919815865;30.822070014844883
120111-PP;Thalamus;0.609568745871473;45.617978911828175
120111-PP;WhiteMatter;0.7311449621254376;16.76305461424021
122317;Amygdala;0.44266961885181083;51.02940328869229
122317;GreyMatter;0.6253269027970053;15.684387141358123
122317;Hippocampus;0.3704633352969803;17.804493814764857
122317;Thalamus;0.6874350026576691;59.941638282582836
122317;WhiteMatter;0.7764487103266279;18.81488772222678
122317-PP;Amygdala;0.44266961885181083;51.02940328869229
122317-PP;GreyMatter;0.6253269027970053;15.684387141358123
122317-PP;Hippocampus;0.3704633352969803;17.804493814764857
122317-PP;Thalamus;0.6874350026576691;59.941638282582836
122317-PP;WhiteMatter;0.7764487103266279;18.81488772222678
122620;Amygdala;0.4206389636853213;54.75399528801528
122620;GreyMatter;0.6472832351786415;14.352700094407323
122620;Hippocampus;0.3720121484710083;18.24828759089466
122620;Thalamus;0.6419716955494701;65.06919393998976
122620;WhiteMatter;0.709359812511848;19.313207915827967
122620-PP;Amygdala;0.4206389636853213;54.75399528801528
122620-PP;GreyMatter;0.6472832351786415;14.352700094407323
122620-PP;Hippocampus;0.3720121484710083;18.24828759089466
122620-PP;Thalamus;0.6419716955494701;65.06919393998976
122620-PP;WhiteMatter;0.709359812511848;19.313207915827967
123117;Amygdala;0.3110632638844912;59.464274989274024
123117;GreyMatter;0.47077845488976194;23.15167380558045
123117;Hippocampus;0.27451653900319445;17.029386365926403
123117;Thalamus;0.247319008524178;62.68173577685928
123117;WhiteMatter;0.36325122758326217;27.586228448267445
123117-PP;Amygdala;0.3110632638844912;59.464274989274024
123117-PP;GreyMatter;0.47077845488976194;23.15167380558045
123117-PP;Hippocampus;0.27451653900319445;17.029386365926403
123117-PP;Thalamus;0.247319008524178;62.68173577685928
123117-PP;WhiteMatter;0.36325122758326217;27.586228448267445
123925;Amygdala;0.39154716981132076;20.199009876724155
123925;GreyMatter;0.539773043268696;21.18962010041709
123925;Hippocampus;0.3230271914812702;20.024984394500787
123925;Thalamus;0.6847647252385654;60.00833275470999
123925;WhiteMatter;0.784256085866513;24.55605831561735
123925-PP;Amygdala;0.39154716981132076;20.199009876724155
123925-PP;GreyMatter;0.539773043268696;21.18962010041709
123925-PP;Hippocampus;0.3230271914812702;20.024984394500787
123925-PP;Thalamus;0.6847647252385654;60.00833275470999
123925-PP;WhiteMatter;0.784256085866513;24.55605831561735
124422;Amygdala;0.4749159092535604;28.319604517012593
124422;GreyMatter;0.562204091212531;16.401219466856727
124422;Hippocampus;0.31791104050833996;26.720778431774775
124422;Thalamus;0.700313039034051;55.154328932550705
124422;WhiteMatter;0.6950625315312923;22.40535650240808
124422-PP;Amygdala;0.4749159092535604;28.319604517012593
124422-PP;GreyMatter;0.562204091212531;16.401219466856727
124422-PP;Hippocampus;0.31791104050833996;26.720778431774775
124422-PP;Thalamus;0.700313039034051;55.154328932550705
