SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.42640845070422534;19.519221295943137
117122;GreyMatter;0.6477856486607136;13.784048752090222
117122;Hippocampus;0.4052359697076082;20.0
117122;Thalamus;0.7492710690210166;54.16641025580336
117122;WhiteMatter;0.7738539134927145;15.556349186104045
117122-PP;Amygdala;0.42640845070422534;19.519221295943137
117122-PP;GreyMatter;0.6477856486607136;13.784048752090222
117122-PP;Hippocampus;0.4052359697076082;20.0
117122-PP;Thalamus;0.7492710690210166;54.16641025580336
117122-PP;WhiteMatter;0.7738539134927145;15.556349186104045
118528;Amygdala;0.40096819964944497;18.867962264113206
118528;GreyMatter;0.6465135572909122;14.966629547095765
118528;Hippocampus;0.3983016025202027;21.494185260204677
118528;Thalamus;0.7177591231351398;59.531504264548865
118528;WhiteMatter;0.7469225590747578;19.390719429665317
118528-PP;Amygdala;0.40096819964944497;18.867962264113206
118528-PP;GreyMatter;0.6465135572909122;14.966629547095765
118528-PP;Hippocampus;0.3983016025202027;21.494185260204677
118528-PP;Thalamus;0.7177591231351398;59.531504264548865
118528-PP;WhiteMatter;0.7469225590747578;19.390719429665317
118730;Amygdala;0.4076799571849077;15.811388300841896
118730;GreyMatter;0.6236427673384362;16.278820596099706
118730;Hippocampus;0.3374654734283505;18.894443627691185
118730;Thalamus;0.72496765847348;59.64059020499378
118730;WhiteMatter;0.7532232738243402;19.79898987322333
118730-PP;Amygdala;0.4076799571849077;15.811388300841896
118730-PP;GreyMatter;0.6236427673384362;16.278820596099706
118730-PP;Hippocampus;0.3374654734283505;18.894443627691185
118730-PP;Thalamus;0.72496765847348;59.64059020499378
118730-PP;WhiteMatter;0.7532232738243402;19.79898987322333
118932;Amygdala;0.48424628450106155;17.0
118932;GreyMatter;0.6838413902642636;13.92838827718412
118932;Hippocampus;0.4091959862822304;16.76305461424021
118932;Thalamus;0.7420182503737087;56.859475903318
118932;WhiteMatter;0.7591857929172292;17.11724276862369
118932-PP;Amygdala;0.48424628450106155;17.0
118932-PP;GreyMatter;0.6838413902642636;13.92838827718412
118932-PP;Hippocampus;0.4091959862822304;16.76305461424021
118932-PP;Thalamus;0.7420182503737087;56.859475903318
118932-PP;WhiteMatter;0.7591857929172292;17.11724276862369
120111;Amygdala;0.44140427072023164;14.0
120111;GreyMatter;0.6357125956084851;13.674794331177344
120111;Hippocampus;0.3797432708328444;22.825424421026653
120111;Thalamus;0.6928785928785929;55.08175741568164
120111;WhiteMatter;0.788383594358291;14.0
120111-PP;Amygdala;0.44140427072023164;14.0
120111-PP;GreyMatter;0.6357125956084851;13.674794331177344
120111-PP;Hippocampus;0.3797432708328444;22.825424421026653
120111-PP;Thalamus;0.6928785928785929;55.08175741568164
120111-PP;WhiteMatter;0.788383594358291;14.0
122317;Amygdala;0.49132995934622087;17.029386365926403
122317;GreyMatter;0.6561631139944393;15.165750888103101
122317;Hippocampus;0.4055646852156174;16.522711641858304
122317;Thalamus;0.7547667645741026;58.94913061275798
122317;WhiteMatter;0.772074265785785;18.384776310850235
122317-PP;Amygdala;0.49132995934622087;17.029386365926403
122317-PP;GreyMatter;0.6561631139944393;15.165750888103101
122317-PP;Hippocampus;0.4055646852156174;16.522711641858304
122317-PP;Thalamus;0.7547667645741026;58.94913061275798
122317-PP;WhiteMatter;0.772074265785785;18.384776310850235
122620;Amygdala;0.43603861279942796;16.15549442140351
122620;GreyMatter;0.6594584665632071;14.2828568570857
122620;Hippocampus;0.36979735604253516;19.849433241279208
122620;Thalamus;0.7385564408720238;57.148928248918196
122620;WhiteMatter;0.749289665515304;18.466185312619388
122620-PP;Amygdala;0.43603861279942796;16.15549442140351
122620-PP;GreyMatter;0.6594584665632071;14.2828568570857
122620-PP;Hippocampus;0.36979735604253516;19.849433241279208
122620-PP;Thalamus;0.7385564408720238;57.148928248918196
122620-PP;WhiteMatter;0.749289665515304;18.466185312619388
123117;Amygdala;0.2759909835614932;17.0
123117;GreyMatter;0.5636868128580572;20.322401432901575
123117;Hippocampus;0.26268547352995053;17.029386365926403
123117;Thalamus;0.4787441663131099;65.54387843269576
123117;WhiteMatter;0.685059181753576;26.267851073127396
123117-PP;Amygdala;0.2759909835614932;17.0
123117-PP;GreyMatter;0.5636868128580572;20.322401432901575
123117-PP;Hippocampus;0.26268547352995053;17.029386365926403
123117-PP;Thalamus;0.4787441663131099;65.54387843269576
123117-PP;WhiteMatter;0.685059181753576;26.267851073127396
123925;Amygdala;0.425244177310293;16.911534525287763
123925;GreyMatter;0.5845472694100747;20.71231517720798
123925;Hippocampus;0.3576747439009339;20.639767440550294
123925;Thalamus;0.7517714840731993;60.473134530963414
123925;WhiteMatter;0.7798380172978917;24.779023386727733
123925-PP;Amygdala;0.425244177310293;16.911534525287763
123925-PP;GreyMatter;0.5845472694100747;20.71231517720798
123925-PP;Hippocampus;0.3576747439009339;20.639767440550294
123925-PP;Thalamus;0.7517714840731993;60.473134530963414
123925-PP;WhiteMatter;0.7798380172978917;24.779023386727733
124422;Amygdala;0.541029207232267;15.684387141358123
124422;GreyMatter;0.6179358568788065;16.401219466856727
124422;Hippocampus;0.42003438277782057;16.1245154965971
124422;Thalamus;0.7768359535366708;62.24146527838174
124422;WhiteMatter;0.749991065365784;19.261360284258224
124422-PP;Amygdala;0.541029207232267;15.684387141358123
124422-PP;GreyMatter;0.6179358568788065;16.401219466856727
124422-PP;Hippocampus;0.42003438277782057;16.1245154965971
124422-PP;Thalamus;0.7768359535366708;62.24146527838174
124422-PP;WhiteMatter;0.749991065365784;19.261360284258224
