SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.4059905862216517;16.186414056238647
117122;GreyMatter;0.665912070343725;13.45362404707371
117122;Hippocampus;0.36293258375190085;26.19160170741759
117122;Thalamus;0.7387751354329263;77.1621668954417
117122;WhiteMatter;0.7590300902947347;16.76305461424021
117122-PP;Amygdala;0.4059905862216517;16.186414056238647
117122-PP;GreyMatter;0.665912070343725;13.45362404707371
117122-PP;Hippocampus;0.36293258375190085;26.19160170741759
117122-PP;Thalamus;0.7387751354329263;77.1621668954417
117122-PP;WhiteMatter;0.7590300902947347;16.76305461424021
118528;Amygdala;0.35077746196288245;17.916472867168917
118528;GreyMatter;0.6432894628541844;15.165750888103101
118528;Hippocampus;0.3415504696907297;38.63935817272331
118528;Thalamus;0.6973338674500378;62.185207244167
118528;WhiteMatter;0.7703835122268547;20.273134932713294
118528-PP;Amygdala;0.35077746196288245;17.916472867168917
118528-PP;GreyMatter;0.6432894628541844;15.165750888103101
118528-PP;Hippocampus;0.3415504696907297;38.63935817272331
118528-PP;Thalamus;0.6973338674500378;62.185207244167
118528-PP;WhiteMatter;0.7703835122268547;20.273134932713294
118730;Amygdala;0.4267877412031782;16.09347693943108
118730;GreyMatter;0.639936529905389;15.524174696260024
118730;Hippocampus;0.31442571215015364;50.28916384272063
118730;Thalamus;0.6917569963419287;65.52098900352466
118730;WhiteMatter;0.7361742178072885;20.46948949045872
118730-PP;Amygdala;0.4267877412031782;16.09347693943108
118730-PP;GreyMatter;0.639936529905389;15.524174696260024
118730-PP;Hippocampus;0.31442571215015364;50.28916384272063
118730-PP;Thalamus;0.6917569963419287;65.52098900352466
118730-PP;WhiteMatter;0.7361742178072885;20.46948949045872
118932;Amygdala;0.4105623160741271;17.46424919657298
118932;GreyMatter;0.6747486477323902;14.212670403551895
118932;Hippocampus;0.32983300369063884;29.223278392404914
118932;Thalamus;0.7134419823260358;67.83067152844649
118932;WhiteMatter;0.7819396320892257;18.027756377319946
118932-PP;Amygdala;0.4105623160741271;17.46424919657298
118932-PP;GreyMatter;0.6747486477323902;14.212670403551895
118932-PP;Hippocampus;0.32983300369063884;29.223278392404914
118932-PP;Thalamus;0.7134419823260358;67.83067152844649
118932-PP;WhiteMatter;0.7819396320892257;18.027756377319946
120111;Amygdala;0.3830807190694395;13.601470508735444
120111;GreyMatter;0.6500399481661957;13.379088160259652
120111;Hippocampus;0.3313773997669236;36.89173349139343
120111;Thalamus;0.6875877622228841;60.01666435249463
120111;WhiteMatter;0.7796359797117413;15.297058540778355
120111-PP;Amygdala;0.3830807190694395;13.601470508735444
120111-PP;GreyMatter;0.6500399481661957;13.379088160259652
120111-PP;Hippocampus;0.3313773997669236;36.89173349139343
120111-PP;Thalamus;0.6875877622228841;60.01666435249463
120111-PP;WhiteMatter;0.7796359797117413;15.297058540778355
122317;Amygdala;0.45876792698826596;16.278820596099706
122317;GreyMatter;0.6556627798243511;16.0
122317;Hippocampus;0.33768183951196623;38.379682124790975
122317;Thalamus;0.7517026036928675;71.8192174839019
122317;WhiteMatter;0.7697576636404282;18.027756377319946
122317-PP;Amygdala;0.45876792698826596;16.278820596099706
122317-PP;GreyMatter;0.6556627798243511;16.0
122317-PP;Hippocampus;0.33768183951196623;38.379682124790975
122317-PP;Thalamus;0.7517026036928675;71.8192174839019
122317-PP;WhiteMatter;0.7697576636404282;18.027756377319946
122620;Amygdala;0.45530112923462984;15.811388300841896
122620;GreyMatter;0.6797623951772095;13.674794331177344
122620;Hippocampus;0.3474852480668044;36.11094017053558
122620;Thalamus;0.7287568020092089;56.00892785976178
122620;WhiteMatter;0.7363590040816612;18.627936010197157
122620-PP;Amygdala;0.45530112923462984;15.811388300841896
122620-PP;GreyMatter;0.6797623951772095;13.674794331177344
122620-PP;Hippocampus;0.3474852480668044;36.11094017053558
122620-PP;Thalamus;0.7287568020092089;56.00892785976178
122620-PP;WhiteMatter;0.7363590040816612;18.627936010197157
123117;Amygdala;0.3199179697513458;16.73320053068151
123117;GreyMatter;0.5593369096723363;21.2602916254693
123117;Hippocampus;0.3353797300873247;49.29503017546495
123117;Thalamus;0.26425766641735227;57.73214009544424
123117;WhiteMatter;0.32269441943957505;27.073972741361768
123117-PP;Amygdala;0.3199179697513458;16.73320053068151
123117-PP;GreyMatter;0.5593369096723363;21.2602916254693
123117-PP;Hippocampus;0.3353797300873247;49.29503017546495
123117-PP;Thalamus;0.26425766641735227;57.73214009544424
123117-PP;WhiteMatter;0.32269441943957505;27.073972741361768
123925;Amygdala;0.43924749741111496;15.165750888103101
123925;GreyMatter;0.6171717301324783;20.83266665599966
123925;Hippocampus;0.3536603175265475;44.68780594300866
123925;Thalamus;0.6745712807862173;66.71581521648372
123925;WhiteMatter;0.7730238931799263;24.1039415863879
123925-PP;Amygdala;0.43924749741111496;15.165750888103101
123925-PP;GreyMatter;0.6171717301324783;20.83266665599966
