SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.38027607117210566;19.339079605813716
117122;GreyMatter;0.6263956361005191;14.45683229480096
117122;Hippocampus;0.29677014969397536;21.97726097583591
117122;Thalamus;0.7012803316668699;8.366600265340756
117122;WhiteMatter;0.7847801090335839;14.352700094407323
117122-PP;Amygdala;0.38027607117210566;19.339079605813716
117122-PP;GreyMatter;0.6263956361005191;14.45683229480096
117122-PP;Hippocampus;0.29677014969397536;21.97726097583591
117122-PP;Thalamus;0.7012803316668699;8.366600265340756
117122-PP;WhiteMatter;0.7847801090335839;14.352700094407323
118528;Amygdala;0.3157894736842105;18.138357147217054
118528;GreyMatter;0.5998268970564882;15.165750888103101
118528;Hippocampus;0.2876556824078879;22.759613353482084
118528;Thalamus;0.6700225497118648;7.54983443527075
118528;WhiteMatter;0.7522445171985573;19.131126469708992
118528-PP;Amygdala;0.3157894736842105;18.138357147217054
118528-PP;GreyMatter;0.5998268970564882;15.165750888103101
118528-PP;Hippocampus;0.2876556824078879;22.759613353482084
118528-PP;Thalamus;0.6700225497118648;7.54983443527075
118528-PP;WhiteMatter;0.7522445171985573;19.131126469708992
118730;Amygdala;0.4002685364762047;16.583123951777
118730;GreyMatter;0.629146776045014;16.30950643030009
118730;Hippocampus;0.29218114777347076;23.0
118730;Thalamus;0.7071992568509057;7.3484692283495345
118730;WhiteMatter;0.7124048508230858;19.209372712298546
118730-PP;Amygdala;0.4002685364762047;16.583123951777
118730-PP;GreyMatter;0.629146776045014;16.30950643030009
118730-PP;Hippocampus;0.29218114777347076;23.0
118730-PP;Thalamus;0.7071992568509057;7.3484692283495345
118730-PP;WhiteMatter;0.7124048508230858;19.209372712298546
118932;Amygdala;0.3559685489635454;18.05547008526779
118932;GreyMatter;0.6336830869809684;14.7648230602334
118932;Hippocampus;0.264211188337553;21.656407827707714
118932;Thalamus;0.653516588140517;7.0710678118654755
118932;WhiteMatter;0.780839318485936;14.730919862656235
118932-PP;Amygdala;0.3559685489635454;18.05547008526779
118932-PP;GreyMatter;0.6336830869809684;14.7648230602334
118932-PP;Hippocampus;0.264211188337553;21.656407827707714
118932-PP;Thalamus;0.653516588140517;7.0710678118654755
118932-PP;WhiteMatter;0.780839318485936;14.730919862656235
120111;Amygdala;0.36103896103896105;15.556349186104045
120111;GreyMatter;0.6079501278503223;14.142135623730951
120111;Hippocampus;0.2790581745069042;21.236760581595302
120111;Thalamus;0.6494014060780305;8.94427190999916
120111;WhiteMatter;0.8117145978492114;12.68857754044952
120111-PP;Amygdala;0.36103896103896105;15.556349186104045
120111-PP;GreyMatter;0.6079501278503223;14.142135623730951
120111-PP;Hippocampus;0.2790581745069042;21.236760581595302
120111-PP;Thalamus;0.6494014060780305;8.94427190999916
120111-PP;WhiteMatter;0.8117145978492114;12.68857754044952
122317;Amygdala;0.4095153401511783;17.69180601295413
122317;GreyMatter;0.6209222167431437;15.937377450509228
122317;Hippocampus;0.2824705161586767;24.515301344262525
122317;Thalamus;0.7291772861657662;7.681145747868608
122317;WhiteMatter;0.7632719840535681;15.264337522473747
122317-PP;Amygdala;0.4095153401511783;17.69180601295413
122317-PP;GreyMatter;0.6209222167431437;15.937377450509228
122317-PP;Hippocampus;0.2824705161586767;24.515301344262525
122317-PP;Thalamus;0.7291772861657662;7.681145747868608
122317-PP;WhiteMatter;0.7632719840535681;15.264337522473747
122620;Amygdala;0.3840011509963312;16.30950643030009
122620;GreyMatter;0.6463461828744153;14.0
122620;Hippocampus;0.28530377668308704;23.173260452512935
122620;Thalamus;0.6983565584400273;8.06225774829855
122620;WhiteMatter;0.7265305834207246;18.138357147217054
122620-PP;Amygdala;0.3840011509963312;16.30950643030009
122620-PP;GreyMatter;0.6463461828744153;14.0
122620-PP;Hippocampus;0.28530377668308704;23.173260452512935
122620-PP;Thalamus;0.6983565584400273;8.06225774829855
122620-PP;WhiteMatter;0.7265305834207246;18.138357147217054
123117;Amygdala;0.45210428669075287;15.684387141358123
123117;GreyMatter;0.5422929453047731;22.847319317591726
123117;Hippocampus;0.3631176061238692;46.73328578219169
123117;Thalamus;0.7295470686613668;8.366600265340756
123117;WhiteMatter;0.656554811676226;23.769728648009426
123117-PP;Amygdala;0.45210428669075287;15.684387141358123
123117-PP;GreyMatter;0.5422929453047731;22.847319317591726
123117-PP;Hippocampus;0.3631176061238692;46.73328578219169
123117-PP;Thalamus;0.7295470686613668;8.366600265340756
123117-PP;WhiteMatter;0.656554811676226;23.769728648009426
123925;Amygdala;0.41856610029009533;14.7648230602334
123925;GreyMatter;0.590158511791157;20.85665361461421
123925;Hippocampus;0.33081746400371576;39.57271787481876
123925;Thalamus;0.747654928494541;7.0710678118654755
123925;WhiteMatter;0.7202528882700485;23.790754506740637
123925-PP;Amygdala;0.41856610029009533;14.7648230602334
123925-PP;GreyMatter;0.590158511791157;20.85665361461421
123925-PP;Hippocampus;0.33081746400371576;39.57271787481876
123925-PP;Thalamus;0.747654928494541;7.0710678118654755
123925-PP;WhiteMatter;0.7202528882700485;23.790754506740637
124422;Amygdala;0.5087451180166412;15.84297951775486
124422;GreyMatter;0.5835493465669044;17.11724276862369
124422;Hippocampus;0.3382423197557277;21.563858652847824
124422;Thalamus;0.7716836125829395;6.164414002968976
124422;WhiteMatter;0.697596589359817;18.547236990991408
124422-PP;Amygdala;0.5087451180166412;15.84297951775486
124422-PP;GreyMatter;0.5835493465669044;17.11724276862369
124422-PP;Hippocampus;0.3382423197557277;21.563858652847824
124422-PP;Thalamus;0.7716836125829395;6.164414002968976
