SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.42734411085450347;21.633307652783937
117122;GreyMatter;0.6209001561237398;14.352700094407323
117122;Hippocampus;0.38412487382130633;25.13961017995307
117122;Thalamus;0.6808463547430392;56.302753041036986
117122;WhiteMatter;0.7795169065431864;17.832554500127006
117122-PP;Amygdala;0.42734411085450347;21.633307652783937
117122-PP;GreyMatter;0.6209001561237398;14.352700094407323
117122-PP;Hippocampus;0.38412487382130633;25.13961017995307
117122-PP;Thalamus;0.6808463547430392;56.302753041036986
117122-PP;WhiteMatter;0.7795169065431864;17.832554500127006
118528;Amygdala;0.373315989965623;26.720778431774775
118528;GreyMatter;0.5556870745659259;14.866068747318506
118528;Hippocampus;0.3386243386243386;29.68164415931166
118528;Thalamus;0.6000656048401793;48.4458460551573
118528;WhiteMatter;0.6546742509145503;20.8806130178211
118528-PP;Amygdala;0.373315989965623;26.720778431774775
118528-PP;GreyMatter;0.5556870745659259;14.866068747318506
118528-PP;Hippocampus;0.3386243386243386;29.68164415931166
118528-PP;Thalamus;0.6000656048401793;48.4458460551573
118528-PP;WhiteMatter;0.6546742509145503;20.8806130178211
118730;Amygdala;0.387391242333476;19.8997487421324
118730;GreyMatter;0.5916811245481746;16.30950643030009
118730;Hippocampus;0.31300788046259337;22.045407685048602
118730;Thalamus;0.6800216079949581;57.97413216254298
118730;WhiteMatter;0.7434384008962851;21.2602916254693
118730-PP;Amygdala;0.387391242333476;19.8997487421324
118730-PP;GreyMatter;0.5916811245481746;16.30950643030009
118730-PP;Hippocampus;0.31300788046259337;22.045407685048602
118730-PP;Thalamus;0.6800216079949581;57.97413216254298
118730-PP;WhiteMatter;0.7434384008962851;21.2602916254693
118932;Amygdala;0.3949479704503932;49.92995093127971
118932;GreyMatter;0.6461147602307798;14.7648230602334
118932;Hippocampus;0.3597748894546429;19.519221295943137
118932;Thalamus;0.6680331262939958;57.148928248918196
118932;WhiteMatter;0.7591533683169268;19.05255888325765
118932-PP;Amygdala;0.3949479704503932;49.92995093127971
118932-PP;GreyMatter;0.6461147602307798;14.7648230602334
118932-PP;Hippocampus;0.3597748894546429;19.519221295943137
118932-PP;Thalamus;0.6680331262939958;57.148928248918196
118932-PP;WhiteMatter;0.7591533683169268;19.05255888325765
120111;Amygdala;0.41971669532465405;26.981475126464083
120111;GreyMatter;0.6129648642866081;14.317821063276353
120111;Hippocampus;0.35225950881197465;33.166247903554
120111;Thalamus;0.6348611549384664;43.69210454990696
120111;WhiteMatter;0.7673805734148373;17.0
120111-PP;Amygdala;0.41971669532465405;26.981475126464083
120111-PP;GreyMatter;0.6129648642866081;14.317821063276353
120111-PP;Hippocampus;0.35225950881197465;33.166247903554
120111-PP;Thalamus;0.6348611549384664;43.69210454990696
120111-PP;WhiteMatter;0.7673805734148373;17.0
122317;Amygdala;0.5156576200417536;19.339079605813716
122317;GreyMatter;0.6315341377786257;16.155494421403514
122317;Hippocampus;0.39995280792826804;19.0
122317;Thalamus;0.71475211044261;57.3149195236284
122317;WhiteMatter;0.7265727663116193;19.235384061671343
122317-PP;Amygdala;0.5156576200417536;19.339079605813716
122317-PP;GreyMatter;0.6315341377786257;16.155494421403514
122317-PP;Hippocampus;0.39995280792826804;19.0
122317-PP;Thalamus;0.71475211044261;57.3149195236284
122317-PP;WhiteMatter;0.7265727663116193;19.235384061671343
122620;Amygdala;0.40714840714840717;53.99073994677235
122620;GreyMatter;0.6370148249193253;14.352700094407323
122620;Hippocampus;0.355992688658717;23.93741840717165
122620;Thalamus;0.6791058069112932;72.72551134230683
122620;WhiteMatter;0.7376019947827934;19.544820285692065
122620-PP;Amygdala;0.40714840714840717;53.99073994677235
122620-PP;GreyMatter;0.6370148249193253;14.352700094407323
122620-PP;Hippocampus;0.355992688658717;23.93741840717165
122620-PP;Thalamus;0.6791058069112932;72.72551134230683
122620-PP;WhiteMatter;0.7376019947827934;19.544820285692065
123117;Amygdala;0.37563370081274644;58.008620049092706
123117;GreyMatter;0.5642578004132922;21.307275752662516
123117;Hippocampus;0.3549985295115716;21.656407827707714
123117;Thalamus;0.42796869006861477;66.49060083951716
123117;WhiteMatter;0.6561099061226919;27.27636339397171
123117-PP;Amygdala;0.37563370081274644;58.008620049092706
123117-PP;GreyMatter;0.5642578004132922;21.307275752662516
123117-PP;Hippocampus;0.3549985295115716;21.656407827707714
123117-PP;Thalamus;0.42796869006861477;66.49060083951716
123117-PP;WhiteMatter;0.6561099061226919;27.27636339397171
123925;Amygdala;0.42475247524752474;50.48762224545735
123925;GreyMatter;0.5675570493543252;20.8806130178211
123925;Hippocampus;0.34780982461973237;32.155870381627054
123925;Thalamus;0.6916815724420684;57.245087125446844
123925;WhiteMatter;0.743627039032661;25.475478405713993
123925-PP;Amygdala;0.42475247524752474;50.48762224545735
123925-PP;GreyMatter;0.5675570493543252;20.8806130178211
123925-PP;Hippocampus;0.34780982461973237;32.155870381627054
123925-PP;Thalamus;0.6916815724420684;57.245087125446844
123925-PP;WhiteMatter;0.743627039032661;25.475478405713993
124422;Amygdala;0.5321832684103135;30.0
124422;GreyMatter;0.5490484208097693;16.401219466856727
124422;Hippocampus;0.38390272148233934;27.0
124422;Thalamus;0.7360609707180105;56.753854494650845
124422;WhiteMatter;0.6460566932433643;21.400934559032695
124422-PP;Amygdala;0.5321832684103135;30.0
124422-PP;GreyMatter;0.5490484208097693;16.401219466856727
124422-PP;Hippocampus;0.38390272148233934;27.0
124422-PP;Thalamus;0.7360609707180105;56.753854494650845
